[2024-03-29 16:12:41,037][regelum][INFO] - Saved summary to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/SUMMARY.html. (181ms)
[2024-03-29 16:12:42,758][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 1/5.
[2024-03-29 16:12:42,760][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:12:44,450][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 1/5.
[2024-03-29 16:12:44,452][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:12:46,050][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 1/5.
[2024-03-29 16:12:46,052][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:12:46,810][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:12:48,469][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 2/5. Estimated remaining time: 0:00:20.
[2024-03-29 16:12:48,471][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:12:50,111][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 2/5. Estimated remaining time: 0:00:18.
[2024-03-29 16:12:50,113][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:12:51,732][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 2/5. Estimated remaining time: 0:00:16.
[2024-03-29 16:12:51,733][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:12:51,744][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:12:53,373][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 3/5. Estimated remaining time: 0:00:14.
[2024-03-29 16:12:53,375][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:12:55,049][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 3/5. Estimated remaining time: 0:00:12.
[2024-03-29 16:12:55,050][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:12:56,739][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 3/5. Estimated remaining time: 0:00:10.
[2024-03-29 16:12:56,741][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:12:56,751][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:12:58,677][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 4/5. Estimated remaining time: 0:00:08.
[2024-03-29 16:12:58,679][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:13:00,510][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 4/5. Estimated remaining time: 0:00:07.
[2024-03-29 16:13:00,513][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:13:02,328][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 4/5. Estimated remaining time: 0:00:05.
[2024-03-29 16:13:02,330][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:13:02,341][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:13:04,018][regelum][INFO] - Completed episode 1/3 (33.3%). Iteration: 5/5. Estimated remaining time: 0:00:03.
[2024-03-29 16:13:04,019][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:13:05,712][regelum][INFO] - Completed episode 2/3 (66.7%). Iteration: 5/5. Estimated remaining time: 0:00:01.
[2024-03-29 16:13:05,714][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:13:07,420][regelum][INFO] - Completed episode 3/3 (100.0%). Iteration: 5/5. Estimated remaining time: 0:00:00.
[2024-03-29 16:13:07,422][regelum][INFO] - Saved callbacks to /home/matvey/portfolio_opt_regelum/regelum_data/outputs/2024-03-29/16-12-37/0/callbacks.dill. (0ms)
[2024-03-29 16:13:07,437][regelum][INFO] - A pedestrian policy updated...
[2024-03-29 16:13:07,451][regelum][INFO] - Script terminated successfully.
